BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME
RTSI,WHFOB,2021-05-18,WHFOB,Индекс пшеницы FOB регион Черного моря,242.2,242.2,242.2,242.2,,0.0,0.0,1,242.2,USD,1.0,3,
RTSI,WHFOB,2021-05-17,WHFOB,Индекс пшеницы FOB регион Черного моря,241.4,241.4,241.4,241.4,,0.0,0.0,1,241.4,USD,1.0,3,
RTSI,WHFOB,2021-05-14,WHFOB,Индекс пшеницы FOB регион Черного моря,242.6,242.6,242.6,242.6,,0.0,0.0,1,242.6,USD,1.0,3,
RTSI,WHFOB,2021-05-13,WHFOB,Индекс пшеницы FOB регион Черного моря,242.6,242.6,242.6,242.6,,0.0,0.0,1,242.6,USD,1.0,3,
RTSI,WHFOB,2021-05-12,WHFOB,Индекс пшеницы FOB регион Черного моря,242.4,242.4,242.4,242.4,,0.0,0.0,1,242.4,USD,1.0,3,
RTSI,WHFOB,2021-05-11,WHFOB,Индекс пшеницы FOB регион Черного моря,242.4,242.4,242.4,242.4,,0.0,0.0,1,242.4,USD,1.0,3,
RTSI,WHFOB,2021-04-30,WHFOB,Индекс пшеницы FOB регион Черного моря,255.0,255.0,255.0,255.0,,0.0,0.0,1,255.0,USD,1.0,3,
RTSI,WHFOB,2021-04-29,WHFOB,Индекс пшеницы FOB регион Черного моря,257.0,257.0,257.0,257.0,,0.0,0.0,1,257.0,USD,1.0,3,
RTSI,WHFOB,2021-04-28,WHFOB,Индекс пшеницы FOB регион Черного моря,257.0,257.0,257.0,257.0,,0.0,0.0,1,257.0,USD,1.0,3,
RTSI,WHFOB,2021-04-27,WHFOB,Индекс пшеницы FOB регион Черного моря,255.8,255.8,255.8,255.8,,0.0,0.0,1,255.8,USD,1.0,3,
RTSI,WHFOB,2021-04-26,WHFOB,Индекс пшеницы FOB регион Черного моря,255.8,255.8,255.8,255.8,,0.0,0.0,1,255.8,USD,1.0,3,
RTSI,WHFOB,2021-04-23,WHFOB,Индекс пшеницы FOB регион Черного моря,265.2,265.2,265.2,265.2,,0.0,0.0,1,265.2,USD,1.0,3,
RTSI,WHFOB,2021-04-22,WHFOB,Индекс пшеницы FOB регион Черного моря,265.2,265.2,265.2,265.2,,0.0,0.0,1,265.2,USD,1.0,3,
RTSI,WHFOB,2021-04-21,WHFOB,Индекс пшеницы FOB регион Черного моря,266.5,266.5,266.5,266.5,,0.0,0.0,1,266.5,USD,1.0,3,
RTSI,WHFOB,2021-04-20,WHFOB,Индекс пшеницы FOB регион Черного моря,267.4,267.4,267.4,267.4,,0.0,0.0,1,267.4,USD,1.0,3,
RTSI,WHFOB,2021-04-19,WHFOB,Индекс пшеницы FOB регион Черного моря,267.4,267.4,267.4,267.4,,0.0,0.0,1,267.4,USD,1.0,3,
RTSI,WHFOB,2021-04-16,WHFOB,Индекс пшеницы FOB регион Черного моря,272.9,272.9,272.9,272.9,,0.0,0.0,1,272.9,USD,1.0,3,
RTSI,WHFOB,2021-04-15,WHFOB,Индекс пшеницы FOB регион Черного моря,273.7,273.7,273.7,273.7,,0.0,0.0,1,273.7,USD,1.0,3,
RTSI,WHFOB,2021-04-14,WHFOB,Индекс пшеницы FOB регион Черного моря,273.7,273.7,273.7,273.7,,0.0,0.0,1,273.7,USD,1.0,3,
RTSI,WHFOB,2021-04-13,WHFOB,Индекс пшеницы FOB регион Черного моря,273.7,273.7,273.7,273.7,,0.0,0.0,1,273.7,USD,1.0,3,
RTSI,WHFOB,2021-04-12,WHFOB,Индекс пшеницы FOB регион Черного моря,278.4,278.4,278.4,278.4,,0.0,0.0,1,278.4,USD,1.0,3,
RTSI,WHFOB,2021-04-09,WHFOB,Индекс пшеницы FOB регион Черного моря,277.2,277.2,277.2,277.2,,0.0,0.0,1,277.2,USD,1.0,3,
RTSI,WHFOB,2021-04-08,WHFOB,Индекс пшеницы FOB регион Черного моря,283.4,283.4,283.4,283.4,,0.0,0.0,1,283.4,USD,1.0,3,
RTSI,WHFOB,2021-04-07,WHFOB,Индекс пшеницы FOB регион Черного моря,282.7,282.7,282.7,282.7,,0.0,0.0,1,282.7,USD,1.0,3,
RTSI,WHFOB,2021-04-06,WHFOB,Индекс пшеницы FOB регион Черного моря,283.4,283.4,283.4,283.4,,0.0,0.0,1,283.4,USD,1.0,3,
RTSI,WHFOB,2021-04-05,WHFOB,Индекс пшеницы FOB регион Черного моря,282.0,282.0,282.0,282.0,,0.0,0.0,1,282.0,USD,1.0,3,
RTSI,WHFOB,2021-04-02,WHFOB,Индекс пшеницы FOB регион Черного моря,282.0,282.0,282.0,282.0,,0.0,0.0,1,282.0,USD,1.0,3,
