"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"27.04.2021","208,85","211,00","212,00","207,00","0,23K","-0,55%"
"26.04.2021","210,00","203,25","210,00","203,25","0,20K","1,38%"
"23.04.2021","207,15","209,75","209,75","204,00","0,04K","-0,41%"
"22.04.2021","208,00","205,80","209,95","205,55","0,26K","1,32%"
"21.04.2021","205,30","203,00","205,50","201,00","0,32K","1,96%"
"20.04.2021","201,35","200,60","202,50","200,00","0,09K","1,08%"
"19.04.2021","199,20","201,25","201,25","198,50","0,26K","0,10%"
"16.04.2021","199,00","201,00","201,25","199,00","0,14K","-1,12%"
"15.04.2021","201,25","202,00","202,00","200,00","0,03K","0,12%"
"14.04.2021","201,00","200,00","202,00","200,00","0,11K","1,01%"
"13.04.2021","199,00","197,25","199,00","196,50","0,10K","1,20%"
"12.04.2021","196,65","195,50","199,00","194,75","0,07K","0,33%"
"09.04.2021","196,00","196,00","198,00","196,00","0,09K","0,51%"
"08.04.2021","195,00","190,75","195,00","190,75","0,08K","2,04%"
"07.04.2021","191,10","188,25","190,00","188,25","0,10K","1,11%"
"06.04.2021","189,00","191,00","191,00","189,00","0,01K","-0,71%"
"01.04.2021","190,35","192,05","192,05","189,75","0,11K","-1,88%"
"31.03.2021","194,00","190,50","194,00","188,00","0,16K","2,11%"
"30.03.2021","190,00","191,00","192,00","190,00","0,08K","-1,50%"
"29.03.2021","192,90","195,10","195,10","193,00","0,10K","-1,46%"
"26.03.2021","195,75","194,25","196,00","194,00","0,03K","0,95%"
"25.03.2021","193,90","197,00","197,00","194,00","0,08K","-1,57%"
"24.03.2021","197,00","199,70","199,75","197,00","0,12K","-0,56%"
"23.03.2021","198,10","198,10","198,10","198,10","-","0,00%"
"22.03.2021","198,10","198,10","198,10","198,10","-","0,13%"
"19.03.2021","197,85","197,85","197,85","197,85","-","-0,63%"
"18.03.2021","199,10","199,10","199,10","199,10","-","-0,62%"
"17.03.2021","200,35","200,35","200,35","200,35","-","0,00%"
"16.03.2021","200,35","200,35","200,35","200,35","-","-1,28%"
"15.03.2021","202,95","202,95","202,95","202,95","-","-0,69%"
"12.03.2021","204,35","204,35","204,35","204,35","-","-0,12%"
"11.03.2021","204,60","204,60","204,60","204,60","-","-0,37%"
"10.03.2021","205,35","205,35","205,35","205,35","-","-0,27%"
"09.03.2021","205,90","205,90","205,90","205,90","-","-0,36%"
"08.03.2021","206,65","206,65","206,65","206,65","-","0,39%"
"05.03.2021","205,85","204,00","204,00","204,00","0,02K","0,00%"
"04.03.2021","205,85","205,85","205,85","205,85","-","-0,12%"
"03.03.2021","206,10","206,10","206,10","206,10","-","-0,82%"
"02.03.2021","207,80","207,80","207,80","207,80","-","0,27%"
"01.03.2021","207,25","207,25","207,25","207,25","-","-0,07%"
"26.02.2021","207,40","207,40","207,40","207,40","-","-0,05%"
"25.02.2021","207,50","207,50","207,50","207,50","0,08K","0,36%"
"24.02.2021","206,75","206,50","206,50","206,50","0,00K","0,56%"
"23.02.2021","205,60","205,60","205,60","205,60","-","-0,19%"
"22.02.2021","206,00","206,00","206,00","206,00","-","0,24%"
"19.02.2021","205,50","205,50","205,50","205,50","-","0,61%"
"18.02.2021","204,25","205,00","205,00","205,00","0,01K","1,11%"
"17.02.2021","202,00","202,00","202,00","202,00","-","-0,91%"
"16.02.2021","203,85","203,85","203,85","203,85","-","0,17%"
"15.02.2021","203,50","203,50","203,50","203,50","-","1,50%"
"12.02.2021","200,50","200,50","200,50","200,50","-","0,17%"
"11.02.2021","200,15","200,15","200,15","200,15","-","0,25%"
"10.02.2021","199,65","199,65","199,65","199,65","-","-1,60%"
"09.02.2021","202,90","202,90","202,90","202,90","-","-0,10%"
"08.02.2021","203,10","203,10","203,10","203,10","-","0,30%"
"05.02.2021","202,50","202,50","202,50","202,50","-","0,35%"
"04.02.2021","201,80","201,80","201,80","201,80","-","-0,35%"
"03.02.2021","202,50","202,50","202,50","202,50","-","-0,78%"
"02.02.2021","204,10","204,00","204,00","203,00","0,03K","-1,09%"
"01.02.2021","206,35","205,00","205,00","205,00","0,03K","-0,60%"
"29.01.2021","207,60","207,00","207,50","207,00","0,03K","0,00%"
"28.01.2021","207,60","207,60","207,60","207,60","-","-0,43%"
"27.01.2021","208,50","208,50","208,50","208,50","-","-0,05%"
"26.01.2021","208,60","208,60","208,60","208,60","-","0,80%"
"25.01.2021","206,95","206,95","206,95","206,95","-","-1,12%"
"22.01.2021","209,30","209,30","209,30","209,30","-","0,00%"
"21.01.2021","209,30","209,30","209,30","209,30","-","-0,95%"
"20.01.2021","211,30","211,30","211,30","211,30","-","-0,87%"
"19.01.2021","213,15","213,15","213,15","213,15","-","-0,30%"
"18.01.2021","213,80","213,80","213,80","213,80","-","1,88%"
"15.01.2021","209,85","209,85","209,85","209,85","-","0,21%"
"14.01.2021","209,40","209,40","209,40","209,40","-","0,67%"
"13.01.2021","208,00","208,00","208,00","208,00","-","0,12%"
"12.01.2021","207,75","207,75","207,75","207,75","-","2,34%"
"11.01.2021","203,00","204,00","204,00","204,00","0,01K","0,74%"
"08.01.2021","201,50","201,50","201,50","201,50","-","0,45%"
"07.01.2021","200,60","200,60","200,60","200,60","-","-0,89%"
"06.01.2021","202,40","202,40","202,40","202,40","-","0,45%"
"05.01.2021","201,50","201,50","201,50","201,50","-","0,70%"
"04.01.2021","200,10","200,10","200,10","200,10","-","0,81%"
"31.12.2020","198,50","198,50","198,50","198,50","-","-0,18%"
"30.12.2020","198,85","198,85","198,85","198,85","-","0,43%"
"29.12.2020","198,00","198,00","198,00","198,00","-","0,87%"
"24.12.2020","196,30","196,30","196,30","196,30","-","-0,36%"
"23.12.2020","197,00","198,00","198,00","198,00","0,01K","0,25%"
"22.12.2020","196,50","196,00","196,00","196,00","0,01K","0,26%"
"21.12.2020","196,00","196,00","196,00","196,00","0,01K","-0,13%"
"18.12.2020","196,25","196,25","196,25","196,25","-","0,93%"
"17.12.2020","194,45","194,45","194,45","194,45","-","0,96%"
"16.12.2020","192,60","192,60","192,60","192,60","-","-0,52%"
"15.12.2020","193,60","193,60","193,60","193,60","-","-0,18%"
"14.12.2020","193,95","193,95","193,95","193,95","-","-2,27%"
"11.12.2020","198,45","198,45","198,45","198,45","-","3,58%"
"10.12.2020","191,60","190,00","192,00","190,00","0,02K","1,40%"
"09.12.2020","188,95","188,95","188,95","188,95","-","0,19%"
"08.12.2020","188,60","188,60","188,60","188,60","-","0,37%"
"07.12.2020","187,90","187,90","187,90","187,90","-","0,35%"
"04.12.2020","187,25","187,25","187,25","187,25","-","-0,53%"
"03.12.2020","188,25","188,25","188,25","188,25","-","-1,10%"
"02.12.2020","190,35","190,35","190,35","190,35","-","-0,13%"
"01.12.2020","190,60","190,60","190,60","190,60","-","-0,86%"
"30.11.2020","192,25","192,60","192,60","191,00","0,04K","-0,47%"
"27.11.2020","193,15","193,50","193,50","193,50","0,02K","0,42%"
"26.11.2020","192,35","192,35","192,35","192,35","-","0,00%"
"25.11.2020","192,35","192,35","192,35","192,35","-","-0,16%"
"24.11.2020","192,65","192,50","192,50","192,50","0,02K","-0,31%"
"23.11.2020","193,25","193,25","193,25","193,25","-","0,00%"
"20.11.2020","193,25","193,25","193,25","193,25","-","0,44%"
"19.11.2020","192,40","193,50","193,50","193,50","0,00K","1,56%"
"18.11.2020","189,45","188,00","188,00","188,00","0,00K","-1,74%"
"17.11.2020","192,80","193,00","193,00","193,00","0,00K","1,31%"
"16.11.2020","190,30","190,30","190,30","190,30","-","0,16%"
"13.11.2020","190,00","190,00","190,00","190,00","-","0,11%"
"12.11.2020","189,80","189,80","189,80","189,80","-","-0,05%"
"11.11.2020","189,90","189,90","189,90","189,90","-","-0,31%"
"10.11.2020","190,50","190,50","190,50","190,50","-","-0,18%"
"09.11.2020","190,85","190,85","190,85","190,85","-","0,45%"
"06.11.2020","190,00","190,00","190,00","190,00","-","0,00%"
"05.11.2020","190,00","190,00","190,00","190,00","0,02K","0,05%"
"04.11.2020","189,90","190,00","190,00","190,00","0,01K","0,88%"
"03.11.2020","188,25","188,25","188,25","188,25","-","0,13%"
"02.11.2020","188,00","188,00","188,00","188,00","-","-0,03%"
"30.10.2020","188,05","188,05","188,05","188,05","-","0,56%"
"29.10.2020","187,00","188,00","188,00","186,50","0,03K","-0,35%"
"28.10.2020","187,65","187,65","187,65","187,65","-","-0,58%"
"27.10.2020","188,75","189,00","189,00","188,75","0,05K","0,13%"
"26.10.2020","188,50","190,00","190,00","189,00","0,02K","-0,40%"
"23.10.2020","189,25","187,60","190,00","187,60","0,02K","0,88%"
"22.10.2020","187,60","189,00","189,00","187,50","0,10K","-0,21%"
"21.10.2020","188,00","189,00","189,00","188,50","0,03K","0,00%"
"20.10.2020","188,00","188,00","188,00","186,70","0,17K","1,24%"
"19.10.2020","185,70","186,00","186,00","184,75","0,05K","0,16%"
"16.10.2020","185,40","183,40","186,00","183,40","0,04K","1,48%"
"15.10.2020","182,70","181,00","182,75","181,00","0,07K","0,66%"
"14.10.2020","181,50","181,50","181,50","180,00","0,13K","-0,30%"
"13.10.2020","182,05","182,50","182,50","181,80","0,04K","-0,25%"
"12.10.2020","182,50","184,00","184,00","181,50","0,07K","-1,35%"
"09.10.2020","185,00","183,50","185,00","183,50","0,07K","1,15%"
"08.10.2020","182,90","184,00","184,50","182,90","0,12K","-0,54%"
"07.10.2020","183,90","186,00","186,40","183,50","0,21K","-0,86%"
"06.10.2020","185,50","184,95","188,00","184,00","0,17K","0,54%"
"05.10.2020","184,50","184,00","185,00","182,50","0,21K","1,10%"
"02.10.2020","182,50","182,50","183,00","181,00","0,29K","-0,46%"
"01.10.2020","183,35","184,50","185,00","182,75","0,34K","-0,19%"
"30.09.2020","183,70","181,25","184,50","181,00","0,18K","1,94%"
"29.09.2020","180,20","181,85","182,00","180,00","0,25K","-0,88%"
"28.09.2020","181,80","182,00","183,00","179,00","0,13K","-0,52%"
"25.09.2020","182,75","181,00","183,00","181,00","0,37K","0,69%"
"24.09.2020","181,50","179,00","182,00","179,00","0,32K","0,83%"
"23.09.2020","180,00","180,50","181,50","180,00","1,08K","-1,10%"
"22.09.2020","182,00","180,35","181,00","179,00","0,30K","1,79%"
"21.09.2020","178,80","178,65","180,50","178,50","0,24K","-0,25%"
"18.09.2020","179,25","178,75","179,80","177,00","0,27K","1,16%"
"17.09.2020","177,20","175,00","177,20","174,40","0,44K","1,84%"
"16.09.2020","174,00","174,50","174,50","173,50","0,27K","-0,29%"
"15.09.2020","174,50","176,50","176,75","174,50","0,26K","-1,11%"
